==================================================================================================================================
  DATE-MATCHING VERIFICATION — spill_date == archive_date PROOF
==================================================================================================================================
City: Sao Paulo, BR             | Predicted: 2026-08-10 | Spill: 16C | Archive date queried: 2026-08-10 | Actual max: 25.5C | round(25.5)=26 | Spill(16)!=26 -> WIN [WIN]
City: Sao Paulo, BR             | Predicted: 2026-08-10 | Spill: 17C | Archive date queried: 2026-08-10 | Actual max: 25.5C | round(25.5)=26 | Spill(17)!=26 -> WIN [WIN]
City: Seattle, US               | Predicted: 2026-08-09 | Spill: 24C | Archive date queried: 2026-08-09 | Actual max: 26.6C | round(26.6)=27 | Spill(24)!=27 -> WIN [WIN]
City: Seattle, US               | Predicted: 2026-08-09 | Spill: 23C | Archive date queried: 2026-08-09 | Actual max: 26.6C | round(26.6)=27 | Spill(23)!=27 -> WIN [WIN]
City: Seattle, US               | Predicted: 2026-08-09 | Spill: 25C | Archive date queried: 2026-08-09 | Actual max: 26.6C | round(26.6)=27 | Spill(25)!=27 -> WIN [WIN]
City: Seoul (Incheon), KR       | Predicted: 2026-08-10 | Spill: 29C | Archive date queried: 2026-08-10 | Actual max: 32.7C | round(32.7)=33 | Spill(29)!=33 -> WIN [WIN]
City: Seoul (Incheon), KR       | Predicted: 2026-08-10 | Spill: 27C | Archive date queried: 2026-08-10 | Actual max: 32.7C | round(32.7)=33 | Spill(27)!=33 -> WIN [WIN]
City: Seoul (Incheon), KR       | Predicted: 2026-08-10 | Spill: 31C | Archive date queried: 2026-08-10 | Actual max: 32.7C | round(32.7)=33 | Spill(31)!=33 -> WIN [WIN]
City: Shanghai, CN              | Predicted: 2026-08-10 | Spill: 27C | Archive date queried: 2026-08-10 | Actual max: 27.4C | round(27.4)=27 | Spill(27)==27 -> WIN [WIN]
City: Shanghai, CN              | Predicted: 2026-08-10 | Spill: 26C | Archive date queried: 2026-08-10 | Actual max: 27.4C | round(27.4)=27 | Spill(26)!=27 -> WIN [WIN]
City: Shanghai, CN              | Predicted: 2026-08-10 | Spill: 28C | Archive date queried: 2026-08-10 | Actual max: 27.4C | round(27.4)=27 | Spill(28)!=27 -> LOSS [LOSS]
City: Shenzhen, CN              | Predicted: 2026-08-10 | Spill: 34C | Archive date queried: 2026-08-10 | Actual max: 36.0C | round(36.0)=36 | Spill(34)!=36 -> WIN [WIN]
City: Shenzhen, CN              | Predicted: 2026-08-10 | Spill: 33C | Archive date queried: 2026-08-10 | Actual max: 36.0C | round(36.0)=36 | Spill(33)!=36 -> WIN [WIN]
City: Shenzhen, CN              | Predicted: 2026-08-10 | Spill: 35C | Archive date queried: 2026-08-10 | Actual max: 36.0C | round(36.0)=36 | Spill(35)!=36 -> WIN [WIN]
City: Singapore, SG             | Predicted: 2026-08-10 | Spill: 30C | Archive date queried: 2026-08-10 | Actual max: 32.6C | round(32.6)=33 | Spill(30)!=33 -> WIN [WIN]
City: Singapore, SG             | Predicted: 2026-08-10 | Spill: 29C | Archive date queried: 2026-08-10 | Actual max: 32.6C | round(32.6)=33 | Spill(29)!=33 -> WIN [WIN]
City: Singapore, SG             | Predicted: 2026-08-10 | Spill: 31C | Archive date queried: 2026-08-10 | Actual max: 32.6C | round(32.6)=33 | Spill(31)!=33 -> WIN [WIN]
City: Taipei, TW                | Predicted: 2026-08-10 | Spill: 31C | Archive date queried: 2026-08-10 | Actual max: 26.2C | round(26.2)=26 | Spill(31)!=26 -> LOSS [LOSS]
City: Taipei, TW                | Predicted: 2026-08-10 | Spill: 30C | Archive date queried: 2026-08-10 | Actual max: 26.2C | round(26.2)=26 | Spill(30)!=26 -> LOSS [LOSS]
City: Taipei, TW                | Predicted: 2026-08-10 | Spill: 32C | Archive date queried: 2026-08-10 | Actual max: 26.2C | round(26.2)=26 | Spill(32)!=26 -> LOSS [LOSS]
City: Tel Aviv, IL              | Predicted: 2026-08-10 | Spill: 34C | Archive date queried: 2026-08-10 | Actual max: 33.0C | round(33.0)=33 | Spill(34)!=33 -> LOSS [LOSS]
City: Tel Aviv, IL              | Predicted: 2026-08-10 | Spill: 32C | Archive date queried: 2026-08-10 | Actual max: 33.0C | round(33.0)=33 | Spill(32)!=33 -> WIN [WIN]
City: Tel Aviv, IL              | Predicted: 2026-08-10 | Spill: 35C | Archive date queried: 2026-08-10 | Actual max: 33.0C | round(33.0)=33 | Spill(35)!=33 -> LOSS [LOSS]
City: Tokyo, JP                 | Predicted: 2026-08-10 | Spill: 30C | Archive date queried: 2026-08-10 | Actual max: 31.6C | round(31.6)=32 | Spill(30)!=32 -> WIN [WIN]
City: Tokyo, JP                 | Predicted: 2026-08-10 | Spill: 29C | Archive date queried: 2026-08-10 | Actual max: 31.6C | round(31.6)=32 | Spill(29)!=32 -> WIN [WIN]
City: Tokyo, JP                 | Predicted: 2026-08-10 | Spill: 30C | Archive date queried: 2026-08-10 | Actual max: 31.6C | round(31.6)=32 | Spill(30)!=32 -> WIN [WIN]
City: Toronto, CA               | Predicted: 2026-08-10 | Spill: 27C | Archive date queried: 2026-08-10 | Actual max: 27.8C | round(27.8)=28 | Spill(27)!=28 -> WIN [WIN]
City: Toronto, CA               | Predicted: 2026-08-10 | Spill: 26C | Archive date queried: 2026-08-10 | Actual max: 27.8C | round(27.8)=28 | Spill(26)!=28 -> WIN [WIN]
